match_id,season,city,venue,team1,team2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,player_of_match,toss_win_match_win
1,2021,Mumbai,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,Kolkata Knight Riders,0,5,Sunil Narine,False
2,2018,Chennai,Eden Gardens,Mumbai Indians,Punjab Kings,Punjab Kings,field,wickets,Mumbai Indians,0,7,Jasprit Bumrah,False
3,2022,Kolkata,M.A. Chidambaram Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,wickets,Rajasthan Royals,39,0,Yuzvendra Chahal,True
4,2019,Chandigarh,Wankhede Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,wickets,Kolkata Knight Riders,0,3,Andre Russell,True
5,2021,Chandigarh,Feroz Shah Kotla,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,runs,Chennai Super Kings,99,0,Ambati Rayudu,False
6,2017,Jaipur,Punjab Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,runs,Royal Challengers Bangalore,0,3,Faf du Plessis,True
7,2021,Jaipur,Feroz Shah Kotla,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,wickets,Chennai Super Kings,79,0,Deepak Chahar,True
8,2022,Chennai,Feroz Shah Kotla,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,wickets,Chennai Super Kings,0,5,Ambati Rayudu,True
9,2019,Chennai,Punjab Cricket Association Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,runs,Chennai Super Kings,0,5,Ruturaj Gaikwad,False
10,2018,Jaipur,M.A. Chidambaram Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,wickets,Mumbai Indians,0,7,Jasprit Bumrah,False
11,2022,Delhi,M. Chinnaswamy Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,field,wickets,Punjab Kings,91,0,KL Rahul,True
12,2022,Delhi,Sawai Mansingh Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,wickets,Royal Challengers Bangalore,23,0,Dinesh Karthik,False
13,2017,Kolkata,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Chennai Super Kings,59,0,Ravindra Jadeja,False
14,2020,Hyderabad,Wankhede Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,wickets,Royal Challengers Bangalore,0,8,Dinesh Karthik,False
